QMUXTXRX.
Cur Time : 4211.212000sec
drop count = 0, drop time = 0.000000sec, high water mark = 0

	TIME(sys)	STRING
12.771294	SHIMQMI 00 09 01 21 00 04 00 01 01 00 01
12.771376	SHIMQMI 00 03 01 7e 00 00 00
12.771580	SHIMQMI 02 03 01 7e 00 0e 00 02 04 00 00 00 00 00 10 04
12.772104	SHIMQMI 02 09 01 21 00 07 00 02 04 00 01 00 29 00
12.773571	SHIMQMI 00 01 01 a2 00 0f 00 10 08 00 05 00 00 00 00 00
12.773703	SHIMQMI 02 01 01 a2 00 07 00 02 04 00 01 00 03 00
12.776272	SHIMQMI 00 01 01 03 00 04 00 1f 01 00 01
12.776327	SHIMQMI 02 01 01 03 00 07 00 02 04 00 00 00 00 00
12.776635	SHIMQMI 00 01 01 af 00 07 00 01 04 00 00 00 00 00
12.776678	SHIMQMI 02 01 01 af 00 07 00 02 04 00 00 00 00 00
12.777122	SHIMQMI 00 01 02 a2 00 0f 00 10 08 00 04 00 00 00 01 00
12.778250	SHIMQMI 02 01 02 a2 00 07 00 02 04 00 00 00 00 00
12.778724	SHIMQMI 00 01 03 a2 00 0f 00 10 08 00 04 00 00 00 01 00
12.778779	SHIMQMI 02 01 03 a2 00 07 00 02 04 00 00 00 00 00
12.779045	SHIMQMI 00 01 02 af 00 07 00 01 04 00 00 00 00 00
12.779102	SHIMQMI 02 01 02 af 00 07 00 02 04 00 00 00 00 00
12.781915	SHIMQMI 00 01 02 b0 00 00 00
12.781982	SHIMQMI 02 01 02 b0 00 0e 00 02 04 00 00 00 00 00 10 04
12.782469	SHIMQMI 00 01 03 af 00 07 00 01 04 00 00 00 00 00
12.782540	SHIMQMI 02 01 03 af 00 07 00 02 04 00 00 00 00 00
12.782946	SHIMQMI 00 01 03 b0 00 00 00
12.782975	SHIMQMI 02 01 03 b0 00 0e 00 02 04 00 00 00 00 00 10 04
12.783733	SHIMQMI 00 04 01 2b 00 0f 00 10 08 00 04 00 00 00 01 00
12.783835	SHIMQMI 02 04 01 2b 00 07 00 02 04 00 00 00 00 00
12.784138	SHIMQMI 00 04 01 2a 00 04 00 01 01 00 04
12.784179	SHIMQMI 02 04 01 2a 00 07 00 02 04 00 00 00 00 00
12.784373	SHIMQMI 00 04 01 2f 00 08 00 10 01 00 01 11 01 00 db
12.784408	SHIMQMI 02 04 01 2f 00 07 00 02 04 00 00 00 00 00
12.785634	SHIMQMI 00 04 01 2d 00 07 00 01 04 00 ff 00 00 00
12.785658	SHIMQMI 02 04 01 2d 00 07 00 02 04 00 00 00 00 00
12.786072	SHIMQMI 00 04 01 01 00 04 00 10 01 00 01
12.786093	SHIMQMI 02 04 01 01 00 07 00 02 04 00 00 00 00 00
12.786498	SHIMQMI 00 04 02 2b 00 0f 00 10 08 00 04 00 00 00 01 00
12.786528	SHIMQMI 02 04 02 2b 00 07 00 02 04 00 00 00 00 00
12.787225	SHIMQMI 00 04 02 2a 00 04 00 01 01 00 06
12.787248	SHIMQMI 02 04 02 2a 00 07 00 02 04 00 00 00 00 00
12.789542	SHIMQMI 00 04 02 2f 00 08 00 10 01 00 01 11 01 00 db
12.789588	SHIMQMI 02 04 02 2f 00 07 00 02 04 00 00 00 00 00
12.789806	SHIMQMI 00 04 02 2d 00 07 00 01 04 00 ff 00 00 00
12.789829	SHIMQMI 02 04 02 2d 00 07 00 02 04 00 00 00 00 00
12.790035	SHIMQMI 00 04 02 01 00 04 00 10 01 00 01
12.790054	SHIMQMI 02 04 02 01 00 07 00 02 04 00 00 00 00 00
12.790555	SHIMQMI 00 01 04 a2 00 0f 00 10 08 00 04 00 00 00 01 00
12.791075	SHIMQMI 02 01 04 a2 00 07 00 02 04 00 00 00 00 00
12.791537	SHIMQMI 00 01 05 a2 00 0f 00 10 08 00 04 00 00 00 01 00
12.791582	SHIMQMI 02 01 05 a2 00 07 00 02 04 00 00 00 00 00
12.791837	SHIMQMI 00 01 04 af 00 07 00 01 04 00 00 00 00 00
12.791883	SHIMQMI 02 01 04 af 00 07 00 02 04 00 00 00 00 00
12.792166	SHIMQMI 00 01 04 b0 00 00 00
12.792191	SHIMQMI 02 01 04 b0 00 0e 00 02 04 00 00 00 00 00 10 04
12.792393	SHIMQMI 00 01 05 af 00 07 00 01 04 00 00 00 00 00
12.792432	SHIMQMI 02 01 05 af 00 07 00 02 04 00 00 00 00 00
12.792667	SHIMQMI 00 01 05 b0 00 00 00
12.792691	SHIMQMI 02 01 05 b0 00 0e 00 02 04 00 00 00 00 00 10 04
12.793403	SHIMQMI 00 04 03 2b 00 0f 00 10 08 00 04 00 00 00 01 00
12.793438	SHIMQMI 02 04 03 2b 00 07 00 02 04 00 00 00 00 00
12.793671	SHIMQMI 00 04 03 2a 00 04 00 01 01 00 04
12.793693	SHIMQMI 02 04 03 2a 00 07 00 02 04 00 00 00 00 00
12.793855	SHIMQMI 00 04 03 2f 00 08 00 10 01 00 01 11 01 00 db
12.793879	SHIMQMI 02 04 03 2f 00 07 00 02 04 00 00 00 00 00
12.794046	SHIMQMI 00 04 03 2d 00 07 00 01 04 00 ff 00 00 00
12.794065	SHIMQMI 02 04 03 2d 00 07 00 02 04 00 00 00 00 00
12.794247	SHIMQMI 00 04 03 01 00 04 00 10 01 00 01
12.794266	SHIMQMI 02 04 03 01 00 07 00 02 04 00 00 00 00 00
12.794691	SHIMQMI 00 04 04 2b 00 0f 00 10 08 00 04 00 00 00 01 00
12.794722	SHIMQMI 02 04 04 2b 00 07 00 02 04 00 00 00 00 00
12.795434	SHIMQMI 00 04 04 2a 00 04 00 01 01 00 06
